,,,,,,,,,,,,,,,,,,,
,"Tabel 3.18.a.
Kredit Bank Perekonomian Rakyat Berdasarkan Lokasi Bank Penyalur
(Credit of Rural Banks Based on Banks Location)
Miliar Rp (Billion Rp)",,,,,,,,,,,,,,,,,,
,Lokasi / Location,,2018,2020,2021,2022,2023,2024,,,,,,,,,,,
,,,,,,,,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agt,Sep,Okt,Nov,Des
,25.,Sulawesi Tenggara,  226 ,  229 ,  257 ,  300 ,  359 ,  360 ,  370 ,  378 ,  377 ,  380 ,  388 ,  391 ,  412 ,  423 ,  445 ,  453 ,  457 
,26.,Sulawesi Barat,  17 ,  25 ,  79 ,  79 ,  90 ,  90 ,  89 ,  92 ,  94 ,  95 ,  95 ,  94 ,  97 ,  99 ,  97 ,  99 ,  101 
,27.,Gorontalo,  24 ,  53 ,  48 ,  53 ,  69 ,  73 ,  75 ,  75 ,  75 ,  74 ,  75 ,  75 ,  76 ,  76 ,  77 ,  76 ,  78 
,28.,Nusa Tenggara Barat,"  1,056 ","  1,194 ","  1,255 ","  1,405 ","  1,551 ","  1,572 ","  1,588 ","  1,611 ","  1,610 ","  1,605 ","  1,593 ","  1,577 ","  1,580 ","  1,608 ","  1,642 ","  1,673 ","  1,718 "
,29.,Bali,"  10,431 ","  11,522 ","  11,894 ","  12,274 ","  12,874 ","  12,885 ","  12,912 ","  12,939 ","  12,636 ","  12,774 ","  12,742 ","  12,770 ","  12,798 ","  12,754 ","  12,683 ","  12,849 ","  12,945 "
,30.,Nusa Tenggara Timur,  567 ,  669 ,  672 ,  697 ,  747 ,  742 ,  747 ,  750 ,  758 ,  765 ,  770 ,  842 ,  852 ,  856 ,  863 ,  874 ,  873 
,31.,Maluku ,"  1,671 ","  1,917 ","  1,974 ","  2,094 ","  2,224 ","  2,230 ","  2,177 ","  2,188 ","  2,189 ","  2,199 ","  2,205 ","  2,218 ","  2,234 ","  2,242 ","  2,250 ","  2,254 ","  2,250 "
,32.,Papua,"  1,048 ","  1,241 ","  1,354 ","  1,467 ","  1,646 ","  1,651 ","  1,654 ","  1,672 ","  1,686 ","  1,706 ","  1,722 ","  1,742 ","  1,778 ","  1,793 ","  1,810 ","  1,827 ","  1,829 "
,33.,Maluku Utara,  115 ,  200 ,  220 ,  244 ,  272 ,  274 ,  277 ,  282 ,  284 ,  289 ,  291 ,  296 ,  313 ,  322 ,  328 ,  336 ,  338 
,34.,Papua Barat,  600 ,  604 ,  602 ,  586 ,  539 ,  538 ,  541 ,  545 ,  548 ,  550 ,  555 ,  565 ,  567 ,  572 ,  581 ,  592 ,  274 
,35.,Lainnya / Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
, Total,,"  98,220 ","  110,770 ","  116,580 ","  129,295 ","  140,791 ","  141,175 ","  142,192 ","  144,210 ","  143,820 ","  143,920 ","  144,597 ","  145,512 ","  146,220 ","  146,822 ","  147,126 ","  148,083 ","  148,488 "
